datetime,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
2021-05-25 15:00:47.928831,112.0,Senegal,"41,158",+16,"1,134 ",+2,"39,834",+35,190,8,"2,402",66,"509,732","29,746","17,135,902 ",Africa,416,"15,111",34.0,0.9,0.1,11
2021-05-25 15:00:47.928831,113.0,Madagascar,"40,999",+45,810 ,+4,"39,523",+113,666,214,"1,448",29,"200,205","7,068","28,323,556 ",Africa,691,"34,967",141.0,2,0.1,24
2021-05-25 15:00:47.928831,114.0,Zimbabwe,"38,696",,"1,586 ",,"36,471",,639,1,"2,570",105,"462,085","30,691","15,055,901 ",Africa,389,"9,493",33.0,,,42
2021-05-25 15:00:47.928831,115.0,Sudan,"35,243",,"2,600 ",,"27,949",,"4,694",,787,58,"232,965","5,205","44,759,706 ",Africa,"1,270","17,215",192.0,,,105
2021-05-25 15:00:47.928831,116.0,Malawi,"34,293",,"1,154 ",,"32,517",,622,9,"1,752",59,"243,538","12,445","19,569,163 ",Africa,571,"16,958",80.0,,,32
2021-05-25 15:00:47.928831,117.0,Angola,"32,623",,731 ,,"27,087",,"4,805",11,966,22,"553,070","16,376","33,772,982 ",Africa,"1,035","46,201",61.0,,,142
2021-05-25 15:00:47.928831,118.0,DRC,"31,172",+120,780 ,+1,"27,624",+10,"2,768",,339,8,"158,451","1,723","91,976,824 ",Africa,"2,951","117,919",580.0,1,0.01,30
2021-05-25 15:00:47.928831,119.0,Malta,"30,509",+3,418 ,+1,"30,022",+5,69,,"68,932",944,"914,069","2,065,245","442,596 ",Europe,15,"1,059",0.0,7,2.0,156
2021-05-25 15:00:47.928831,120.0,Australia,"30,029",+10,910 ,,"29,000",,119,1,"1,166",35,"17,905,982","694,999","25,764,022 ",Australia/Oceania,858,"28,312",1.0,0.4,,5
2021-05-25 15:00:47.928831,121.0,Cabo Verde,"29,411",,258 ,,"27,189",,"1,964",23,"52,391",460,"160,181","285,335","561,379 ",Africa,19,"2,176",4.0,,,"3,499"
2021-05-25 15:00:47.928831,122.0,Rwanda,"26,730",,349 ,,"25,144",,"1,237",3,"2,019",26,"1,410,046","106,518","13,237,595 ",Africa,495,"37,930",9.0,,,93
2021-05-25 15:00:47.928831,123.0,Cambodia,"26,329",+568,183 ,+4,"19,022",+663,"7,124",,"1,556",11,"1,118,978","66,112","16,925,386 ",Asia,643,"92,488",15.0,34,0.2,421
2021-05-25 15:00:47.928831,124.0,Syria,"24,187",,"1,740 ",,"21,560",,887,,"1,353",97,"103,566","5,793","17,878,594 ",Asia,739,"10,275",173.0,,,50
2021-05-25 15:00:47.928831,125.0,Gabon,"24,107",,147 ,,"20,976",,"2,984",23,"10,608",65,"785,631","345,722","2,272,433 ",Africa,94,"15,459",3.0,,,"1,313"
